Message: Hello                           Data and Time:  2019 23 Aug 09:19:10. 
Message: Эвент номер:  69                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  70                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  71                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  73                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  74                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  75                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  76                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  77                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  79                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  80                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  81                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  82                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  83                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  85                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  86                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  87                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  88                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  89                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  91                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  92                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  93                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  94                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  95                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  97                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  98                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  99                Data and Time:  2019 23 Aug 09:19:11. 
Message: Эвент номер:  100               Data and Time:  2019 23 Aug 09:19:11. 
Message: Hello                           Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  1                 Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  2                 Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  3                 Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  4                 Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  5                 Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  7                 Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  8                 Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  9                 Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  10                Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  11                Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  13                Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  14                Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  15                Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  16                Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  17                Data and Time:  2019 23 Aug 09:19:36. 
Message: Эвент номер:  19                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  20                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  21                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  22                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  23                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  25                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  26                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  27                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  28                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  29                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  31                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  32                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  33                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  34                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  35                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  37                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  38                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  39                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  40                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  41                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  43                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  44                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  45                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  46                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  47                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  49                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  50                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  51                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  52                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  53                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  55                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  56                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  57                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  58                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  59                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  61                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  62                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  63                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  64                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  65                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  67                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  68                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  69                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  70                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  71                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  73                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  74                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  75                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  76                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  77                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  79                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  80                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  81                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  82                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  83                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  85                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  86                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  87                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  88                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  89                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  91                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  92                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  93                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  94                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  95                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  97                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  98                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  99                Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  100               Data and Time:  2019 23 Aug 09:19:37. 
Message: Эвент номер:  1                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  1                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  2                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  2                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  3                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  4                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  4                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  5                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  5                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  6                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  7                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  7                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  8                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  8                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  9                 Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  10                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  10                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  11                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  11                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  12                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  13                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  13                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  14                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  14                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  15                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  16                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  16                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  17                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  17                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  18                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  19                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  19                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  20                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  20                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  21                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  22                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  22                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  23                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  23                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  24                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  25                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  25                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  26                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  26                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  27                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  28                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  28                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  29                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  29                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  30                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  31                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  31                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  32                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  32                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  33                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  34                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  34                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  35                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  35                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  36                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  37                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  37                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  38                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  38                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  39                Data and Time:  2019 23 Aug 11:00:09. 
Message: Эвент номер:  40                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  40                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  41                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  41                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  42                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  43                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  43                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  44                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  44                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  45                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  46                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  46                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  47                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  47                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  48                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  49                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  49                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  50                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  50                Data and Time:  2019 23 Aug 11:00:10. 
Message: Эвент номер:  1Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:48. 
Message: Эвент номер:  1Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:48. 
Message: Эвент номер:  2Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:48. 
Message: Эвент номер:  2Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:48. 
Message: Эвент номер:  3Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:48. 
Message: Эвент номер:  4Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  4Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  5Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  5Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  6Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  7Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  7Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  8Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  8Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  9Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  10Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  10Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  11Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  11Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  12Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  13Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  13Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  14Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  14Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  15Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  16Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  16Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  17Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  17Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  18Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  19Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  19Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  20Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  20Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  21Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  22Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  22Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  23Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  23Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  24Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  25Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  25Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  26Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  26Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  27Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  28Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  28Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  29Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  29Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  30Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  31Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  31Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  32Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  32Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  33Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  34Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  34Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  35Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  35Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  36Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  37Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  37Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  38Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  38Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  39Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  40Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  40Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  41Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  41Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  42Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:49. 
Message: Эвент номер:  43Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  43Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  44Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  44Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  45Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  46Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  46Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  47Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  47Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  48Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  49Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  49Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  50Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  50Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:07:50. 
Message: Эвент номер:  1   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  1   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  2   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  2   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  3   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  4   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  4   Тип сообщения: ERROR  Data and Time:  2019 23 Aug 11:08:57. 
Message: Эвент номер:  5   Тип сообщения: WARNING  Data and Time:  2019 23 Aug 11:08:57. 
